toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate,toipfx
3237.01,242389810,PC,14h13m59.83s,213.499311,-44d21m59.54s,-44.36654,2.17,0.056,-0.056,0,-1.041,0.05,-0.05,0,2459357.130531,7.88e-4,-7.88e-4,0,73.40985263512734,5e-6,-5e-6,0,3.7,0.096,-0.096,0,22337.543013040275,3.63396,-3.63396,0,22.449919398250554,NA,NA,0,1651.47,NA,NA,NA,1829.8383378858666,NA,NA,NA,13.086,0.006,-0.006,0,1016.11,39.4575,-39.4575,0,6678,123,-123,0,4.24,NA,NA,0,1.473667272000773,NA,NA,0,2021-06-04T13:54:29Z,2024-08-22T10:08:01Z,1
4535.01,26017005,KP,03h29m22.09s,52.342055,+22d17m57.66s,22.299349,16.579,0.058,-0.058,0,-14.027,0.038,-0.038,0,2459449.120055,3.07e-4,-3.07e-4,0,25.579485946832577,3e-6,-3e-6,0,2.323409,0.0367453,-0.0367453,0,17024.26853451359,188.334,-188.334,0,14.81719436203958,0.837956,-0.837956,0,319.8755104,NA,NA,NA,1056.0234518441564,NA,NA,NA,12.5489,0.006,-0.006,0,333.042,2.9945,-2.9945,0,5198,124.8,-124.8,0,4.33,0.08,-0.08,0,1.0644717722237,0.0588618,-0.0588618,0,2021-10-21T22:57:22Z,2024-11-26T16:02:02Z,2
3019.01,45296362,PC,08h40m23.43s,130.09764,-58d58m39.64s,-58.977679,-14.442,0.027,-0.027,0,26.673,0.026,-0.026,0,2459329.12965,0.001362,-0.001362,0,63.810260514129055,1.7e-5,-1.7e-5,0,2.201,0.215,-0.215,0,15089.629349358054,12.8578,-12.8578,0,12.80079300081769,NA,NA,0,105.077,NA,NA,NA,905.5251364534936,NA,NA,NA,13.4834,0.006,-0.006,0,676.133,6.381,-6.381,0,5950,122,-122,0,4.47,NA,NA,0,0.9880150414344222,NA,NA,0,2021-06-04T01:36:22Z,2024-08-22T10:08:01Z,3
560.02,101011575,CP,08h38m45.19s,129.688303,-13d15m23.5s,-13.256527,-63.858,0.051,-0.051,0,38.374,0.041,-0.041,0,2459987.337647,0.001494,-0.001494,0,90.04917703906527,5.9e-5,-5.9e-5,0,3.262,0.262,-0.262,0,1200.6307545334407,38.0485,-38.0485,0,1.9996172552733131,0.167093,-0.167093,0,10.5814,NA,NA,NA,527.3145041984416,NA,NA,NA,8.5925,0.006,-0.006,0,31.5666,0.03205,-0.03205,0,4695,92,-92,0,4.5,0.2,-0.2,0,0.6311971196909264,0.05,-0.05,0,2021-07-19T00:13:44Z,2023-04-06T12:03:40Z,4
1918.01,308425348,FP,11h10m19.88s,167.582816,-58d58m58.75s,-58.982985,-10.042,0.053,-0.053,0,4.282,0.044,-0.044,0,2458571.7908,0.00869,-0.00869,0,-30.446415021352443,8.8e-4,-8.8e-4,0,2.634,0.407,-0.407,0,4308.745336149468,15.7058,-15.7058,0,7.0435522243922275,0.581413,-0.581413,0,662.808,NA,NA,NA,1429.1707329256399,NA,NA,NA,12.2876,0.006,-0.006,0,477.322,7.041,-7.041,0,6271,133.8,-133.8,0,4.45,0.08,-0.08,0,1.104144994305691,0.05,-0.05,0,2020-05-29T17:45:53Z,2021-10-29T12:59:15Z,5
2051.01,375850439,PC,22h25m10.81s,336.295039,+67d58m16.2s,67.971168,-1.41,0.066,-0.066,0,-3.759,0.068,-0.068,0,2459854.289501,0.002504,-0.002504,0,-5.7873804094346495,9.62e-5,-9.62e-5,0,1.7800569,0.3212876,-0.3212876,0,384.1939886537907,34.33966,-34.33966,0,5.57462864480947,1.2488548,-1.2488548,0,102177.3532273,NA,NA,NA,4555.68749645634,NA,NA,NA,10.6234,0.029,-0.029,0,809.88,24.473,-24.473,0,11265,684.1,-684.1,0,4.07,0.09,-0.09,0,2.5900128009584065,0.15687,-0.15687,0,2020-06-19T07:20:04Z,2023-05-30T12:02:54Z,6
7404.01,352409708,PC,01h02m36.84s,15.653483,+40d55m37.61s,40.927114,-1.691,0.067,-0.067,0,-5.881,0.059,-0.059,0,2460608.458229,0.001736,-0.001736,0,3.8818007309526408,2.7e-6,-2.7e-6,0,3.42,0.292,-0.292,0,3102.7343039303864,115.389,-115.389,0,11.557623063574736,0.904012,-0.904012,0,6669.25,NA,NA,NA,2577.4608798975573,NA,NA,NA,12.3047,0.007,-0.007,0,1074.28,59.435,-59.435,0,6456.6,135.9,-135.9,0,3.85,0.1,-0.1,0,2.2433112389547847,0.17,-0.17,0,2025-05-01T20:31:59Z,2025-09-09T12:04:04Z,7
1534.01,354600221,FP,00h24m17.92s,6.074676,+57d52m54.18s,57.881718,3.131,0.04,-0.04,0,-11.769,0.037,-0.037,0,2458764.81698,0.00675,-0.00675,0,-40.12279732127637,2.9e-4,-2.9e-4,0,2.728,0.707,-0.707,0,554.5850469832253,1.95042,-1.95042,0,3.945157373632067,0.315846,-0.315846,0,6293.46,NA,NA,NA,2477.213638463476,NA,NA,NA,9.867621,0.006,-0.006,0,241.204,1.829,-1.829,0,6329,158.7,-158.7,0,4.08,0.09,-0.09,0,1.6807822741827745,0.08,-0.08,0,2019-12-05T21:41:10Z,2021-10-29T12:59:15Z,8
2776.01,35636165,PC,06h48m52.61s,102.219197,-16d46m49.81s,-16.780503,-2.487,0.035,-0.035,0,1.551,0.038,-0.038,0,2459224.383812,0.002662,-0.002662,0,-25.870765946005083,1.64e-5,-1.64e-5,0,3.001,0.255,-0.255,0,8712.324285557335,6.49569,-6.49569,0,17.10174714018574,NA,NA,0,1927.33,NA,NA,NA,1925.7369485550817,NA,NA,NA,13.3684,0.015,-0.015,0,1444.65,42.655,-42.655,0,7911,122,-122,0,4.19,NA,NA,0,1.8113779910071823,NA,NA,0,2021-06-03T22:07:26Z,2024-08-22T10:08:01Z,9
5578.01,154563411,PC,12h37m03.76s,189.265651,+75d55m13.58s,75.92044,-44.972,0.03,-0.03,0,-8.412,0.025,-0.025,0,2459583.65004,0.005542,-0.005542,0,121.00325832408592,1.508e-4,-1.508e-4,0,2.936,0.473,-0.473,0,2117.5603617828415,6.1112,-6.1112,0,3.309649538408002,0.337638,-0.337638,0,12.7406,NA,NA,NA,523.4914360379032,NA,NA,NA,12.3681,0.006,-0.006,0,158.202,0.3685,-0.3685,0,4340,121.8,-121.8,0,4.59,0.1,-0.1,0,0.6873553406767846,0.06,-0.06,0,2022-05-17T20:13:13Z,2024-08-22T10:08:01Z,10
